id,title,link,created_at,updated_at
110,Apa Itu Klaster Keluarga?,https://www.instagram.com/p/CGM9qOGHJ1R/,2020-12-02 02:02:18,2020-12-02 02:02:18
111,Mengenal Happy Hipoxia,https://www.instagram.com/p/CGM9vQTHFrc/,2020-12-02 02:03:33,2020-12-02 02:03:33
112,Hindari Pemakaian Masker yang Salah,https://www.instagram.com/p/CGPbVAbHrUW/,2020-12-02 02:08:48,2020-12-02 02:08:48
113,Prosedur Baru Tes Swab COVID-19,https://www.instagram.com/p/CGUxRlVHOQX/,2020-12-02 02:17:25,2020-12-02 02:17:25
114,Pemanfaatan Obat Tradisional Sebagai Imunomodulator,https://www.instagram.com/p/CGXBOhxn4jh/,2020-12-02 02:18:57,2020-12-02 02:18:57
115,"Sektor Budaya dan Ekonomi Kreatif, Mari Adaptasi Kebiasaan Baru",https://www.instagram.com/p/CGcNqGonYiS/,2020-12-02 02:20:37,2020-12-02 02:20:37
116,Kapan Waktu Tepat Anak untuk Pakai Masker?,https://www.instagram.com/p/CGge_uyHhhf/,2020-12-02 02:23:20,2020-12-02 02:23:20
117,Lansia dan COVID-19,https://www.instagram.com/p/CGhWa9Unqn3/,2020-12-02 02:26:39,2020-12-02 02:26:39
118,Standar Nasional Masker Kain,https://www.instagram.com/p/CGj4iuqHgE3/,2020-12-02 02:27:24,2020-12-02 02:27:24
119,Cegah Stunting di Tengah Pandemi,https://www.instagram.com/p/CGj4mUvH6w-/,2020-12-02 02:31:52,2020-12-02 02:31:52
120,Tips Agar Anak Mau Memakai Masker,https://www.instagram.com/p/CGmuBb3n1uA/,2020-12-03 01:44:18,2020-12-03 01:44:18
121,Waspada Gejala COVID-19,https://www.instagram.com/p/CGxFGyOH-4D/,2020-12-03 01:52:25,2020-12-03 01:52:25
122,Surat Edaran Gubernur Sulawesi Tengah,https://www.instagram.com/p/CJaOZ2SnSSe/,2020-12-31 18:37:55,2020-12-31 18:37:55
123,Penundaan Kegiatan Belajar Tatap Muka Semester Genap di Sulawesi Tengah,https://www.instagram.com/p/CJaQ2Ztn0XN/,2020-12-31 18:38:36,2020-12-31 18:38:36
124,Tanda-Tanda Daya Tahan Tubuh Melemah,https://www.instagram.com/p/CLY3gtTnmq5/,2021-02-26 03:36:29,2021-02-26 03:36:29
125,Nyaman Berbelanja & Aman Dari COVID,https://www.instagram.com/p/CLY3mDDnbSi/,2021-02-26 03:38:45,2021-02-26 03:38:45
126,Kenapa Pelacakan Kontak Penting?,https://www.instagram.com/p/CLe01qonBFi/,2021-02-26 03:40:50,2021-02-26 03:40:50
127,Formulir Pendaftaran Vaksin COVID Bagi Lansia,https://www.instagram.com/p/CLjmv3qnKlY/,2021-02-26 03:44:41,2021-02-26 03:44:41
128,Menyusui Ditengah Pandemi,https://www.instagram.com/p/CLjm1jQHgwZ/,2021-02-26 03:47:51,2021-02-26 03:47:51
129,Memantau Gejala COVID-19 Secara Mandiri,https://www.instagram.com/p/CLmAzbenvRN/,2021-02-26 03:49:44,2021-02-26 03:49:44
130,Jaga Keluarga Selama Isolasi Mandiri,https://www.instagram.com/p/CLoZoyanlIL/,2021-02-26 03:52:28,2021-02-26 03:52:28
131,4 Wilayah Aglomerasi Yang Boleh Mudik Lokal,https://www.instagram.com/p/COfXtqjHXbk/,2021-05-08 04:13:13,2021-05-08 04:13:13
132,Perawatan Pasien COVID-19 Berdasarkan Gejala,https://twitter.com/ferdiriva/status/1408714496399400964/photo/1,2021-06-26 18:53:59,2021-06-26 18:53:59
