day,positive_male,positive_female,pdp_male,pdp_female,positive_male_0_14,positive_male_15_19,positive_male_20_24,positive_male_25_49,positive_male_50_54,positive_male_55,positive_female_0_14,positive_female_15_19,positive_female_20_24,positive_female_25_49,positive_female_50_54,positive_female_55,pdp_male_0_14,pdp_male_15_19,pdp_male_20_24,pdp_male_25_49,pdp_male_50_54,pdp_male_55,pdp_female_0_14,pdp_female_15_19,pdp_female_20_24,pdp_female_25_49,pdp_female_50_54,pdp_female_55
203,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
204,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
205,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
206,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
207,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
208,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
209,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
210,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
211,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
212,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
213,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
214,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
215,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
216,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
217,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
218,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
219,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
220,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
221,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
222,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
223,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
224,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
